category,item_title,pdf_title,pdf_url,item_url
DRE / Instrumentos de Gestão,Balanço Social da Direção Regional de Educação referente ao ano civil de 2022,Balanço Social 2022,https://www.madeira.gov.pt/Portals/15/Users/049/05/305/Balanco%20Social%202022.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6140/InformacaoId/221075/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,Balanço Social 2021,Balanço Social 2021,https://www.madeira.gov.pt/Portals/15/Users/049/05/305/Balan%C3%A7o%20Social%202021.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6140/InformacaoId/149235/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,Balanço Social 2020,Balanço Social 2020,https://www.madeira.gov.pt/Portals/15/Users/049/05/305/Balan%C3%A7o%20Social%202020.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6140/InformacaoId/148530/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,Balanço Social 2019,Balanço Social 2019,https://www.madeira.gov.pt/Portals/15/Users/049/05/305/Balan%C3%A7o%20Social%202019.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6140/InformacaoId/148529/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,Balanço Social 2018,Balanço Social 2018,https://www.madeira.gov.pt/Portals/15/Users/049/05/305/Balan%C3%A7o%20Social%202018.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6140/InformacaoId/148528/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,Balanço Social 2017,Balanço Social 2017,https://www.madeira.gov.pt/Portals/15/Users/049/05/305/Balan%C3%A7o%20Social%20DRE%202017.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6140/InformacaoId/45928/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,Balanço Social 2016,Balanço Social 2016,https://www.madeira.gov.pt/Portals/15/Users/049/05/305/Balan%C3%A7oSocial2016.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6140/InformacaoId/42797/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,Mapa de Pessoal da Direção Regional de Educação aprovado a 02/10/2025,Mapa de Pessoal 2025,https://www.madeira.gov.pt/Portals/15/Users/049/05/305/Mapa%20de%20Pessoal%202025.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6141/InformacaoId/248997/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,Mapa de Pessoal da Direção Regional de Educação aprovado a 03/01/2024,Mapa de Pessoal 2024,https://www.madeira.gov.pt/Portals/15/Users/049/05/305/Mapa%20de%20Pessoal%202024.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6141/InformacaoId/220505/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,Mapa de Pessoal da Direção Regional de Educação aprovado a 03/01/2023,Mapa de Pessoal 2023,https://www.madeira.gov.pt/Portals/15/Users/049/05/305/Mapa%20de%20Pessoal%202023.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6141/InformacaoId/176530/UnidadeOrganicaId/32/CatalogoId/0
