publication_title,pdf_title,pdf_url,publication_url,publication_type,date
Distribución,Distribución,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/distribucion.pdf/cd23fe19-92e0-70b1-b02b-8d54170e92b4,https://www.canaldeisabelsegunda.es/publicaciones,ciclo-del-agua,2021-05-01
Saneamiento,Saneamiento,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/saneamiento.pdf/73d1aa1e-87de-1e33-7c96-e21e4079aa09,https://www.canaldeisabelsegunda.es/publicaciones,ciclo-del-agua,2021-04-01
Calidad,Calidad,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Quality_OK.pdf/7a0ec55e-3ccf-3207-08eb-7c08ed29b12a,https://www.canaldeisabelsegunda.es/publicaciones,water-cycle,2021-03-01
Control,Control,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/control.pdf/7082853b-1fa7-eb61-f758-f85f53c44c35,https://www.canaldeisabelsegunda.es/publicaciones,ciclo-del-agua,2021-02-01
Técnicas de drenaje urbano sostenible,Técnicas de drenaje urbano sostenible,https://www.canaldeisabelsegunda.es/documents/d/site/centro-de-excelencia-e-investigacion-canal-tecnicas-de-drenaje-urbano-sostenible,https://www.canaldeisabelsegunda.es/publicaciones,ciclo-del-agua,2021-01-31
Tanque de tormentas de Arroyofresno,Tanque de tormentas de Arroyofresno,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Tanque+de+tormentas.pdf/c9a06a49-6759-1e54-3bb0-442ca323bd39,https://www.canaldeisabelsegunda.es/publicaciones,ciclo-del-agua,2021-01-01
Generación de energía eléctrica,Generación de energía eléctrica,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Ciclo+del+agua_Generaci%C3%B3n+de+energ%C3%ADa_Canal+de+Isabel+II.pdf/557b0718-c5c5-8114-bd94-03ba091ed8ef,https://www.canaldeisabelsegunda.es/publicaciones,ciclo-del-agua,2020-12-01
Informe anual 2019,Informe anual 2019,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/AF_Informe+Sostenibilidad+2019_20102020.pdf/5667a38b-0231-b651-69b4-a703a9af5d27,https://www.canaldeisabelsegunda.es/publicaciones,corporativas,2020-11-01
Informe anual 2018,Informe anual 2018,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Informe_Anual_2018.pdf/8e06c922-9838-f19b-3a66-ca10263ba268,https://www.canaldeisabelsegunda.es/publicaciones,corporativas,2020-10-01
Informe anual 2017,Informe anual 2017,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Informe_Anual_2017+Canal+de+Isabel+II.pdf/7bec8bf1-560e-f8ce-1ad7-71381b8fea15,https://www.canaldeisabelsegunda.es/publicaciones,corporativas,2020-09-01
Proyecto Minerva - Estaciones de monitorización en continuo de la calidad del agua residual de las EDAR,Proyecto Minerva - Estaciones de monitorización en continuo de la calidad del agua residual de las EDAR,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Memoria+Proyecto+Minerva.pdf/c715dd86-5070-dbf4-9352-8870ace0f08d,https://www.canaldeisabelsegunda.es/publicaciones,cuadernos-i+d+i,2020-04-01
Agua y Canal. Reserva de vida,Agua y Canal. Reserva de vida,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/agua-canal-reserva-de-vida.pdf/f3f3a4e9-8d8b-21a1-c1cb-e9375d1dd2ef,https://www.canaldeisabelsegunda.es/publicaciones,patrimonio-histórico,2020-02-01
Primer Depósito Elevado de agua en Madrid. Cien años haciendo historia,Primer Depósito Elevado de agua en Madrid. Cien años haciendo historia,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/deposito_elevado_100_anos.pdf/e9b6021e-7c99-482b-05ec-7c34f8ca6892,https://www.canaldeisabelsegunda.es/publicaciones,patrimonio-histórico,2020-01-01
La sierra del agua. Guía turística del Canal de Isabel II,La sierra del agua. Guía turística del Canal de Isabel II,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/madrid-sierra-del-agua.pdf/677a5dab-71b2-af8c-6565-e1ab15610b7a,https://www.canaldeisabelsegunda.es/publicaciones,patrimonio-histórico,2019-12-01
Una mirada de ayer y hoy,Una mirada de ayer y hoy,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/mirada-de-ayer-y-de-hoy.pdf/cc10888e-b95f-8839-05f1-e93d27a7fe74,https://www.canaldeisabelsegunda.es/publicaciones,patrimonio-histórico,2019-11-01
Más que agua y piedra. El patrimonio histórico de Canal de Isabel II,Más que agua y piedra. El patrimonio histórico de Canal de Isabel II,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/mas-que-agua-piedra.pdf/b0a50c8a-a46a-7aed-844e-f139bc789435,https://www.canaldeisabelsegunda.es/publicaciones,patrimonio-histórico,2019-10-01
El Canal. Patrimonio histórico,El Canal. Patrimonio histórico,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/El+Canal.+Patrimonio+Hist%C3%B3rico.pdf/38a48046-61e1-e5b6-e201-522016e263aa,https://www.canaldeisabelsegunda.es/publicaciones,patrimonio-histórico,2019-09-01
El río vertical. Madrid antes y después del Canal de Isabel II,El río vertical. Madrid antes y después del Canal de Isabel II,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/El+r%C3%ADo+vertical.+Madrid+antes+y+despu%C3%A9s+del+Canal+de+Isabel+II.pdf/ce84e07d-7936-a02b-b9f7-9407e2f4dba5,https://www.canaldeisabelsegunda.es/publicaciones,patrimonio-histórico,2019-08-01
Memoria sobre la conducción de aguas a Madrid,Memoria sobre la conducción de aguas a Madrid,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/memoria-conduccion-aguas-madrid.pdf/1e496cd0-43e6-f7f3-3723-f3619fe09039,https://www.canaldeisabelsegunda.es/publicaciones,patrimonio-histórico,2019-07-01
Revista Canal&tú - n.º 59,Revista Canal&tú - n.º 59,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/revista%2Bcanal%2B59.pdf/69bfe21a-a020-6bfd-8ef0-804e6549db8c,https://www.canaldeisabelsegunda.es/publicaciones,revista,2019-06-01
