category,title,pdf_url,source_url,date
Câmara Municipal / Atas,Ata Número 8/2025 de 27 de fevereiro - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2025.02.27.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 7/2025 de 20 de fevereiro - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA 2025.02.20.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 6/2025 de 13 de fevereiro - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2025_02_13.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 5/2025 de 06 de fevereiro - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2025_02_06.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 4/2025 de 30 de janeiro - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2025_01_30.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 3/2025 de 23 de janeiro - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2025.01.23.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 2/2025 de 16 de janeiro - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA 2025.01.16.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 1/2025 de 09 de janeiro - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA 2025.01.09.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 47/2024 de 05 de dezembro - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024.12.19.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 46/2024 de 05 de dezembro - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_46_2024.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 45/2024 de 28 de novembro - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024.11.28.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 44/2024 de 21 de novembro - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024.11.21.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 43/2024 de 14 de novembro - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024.11.14.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 42/2024 de 7 de novembro - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024.11.07.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 41/2024 de 31 de outubro - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024.10.31.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 40/2024 de 24 de outubro - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024.10.24.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 39/2024 de 17 de outubro - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024.10.17.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 38/2024 de 10 de outubro - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024_10_10.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 37/2024 de 3 de outubro - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024.10.03.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 36/2024 de 26 de setembro - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024.09.26.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 35/2024 de 19 de setembro de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024.09.19.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 34/2024 de 12 de setembro de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024.09.12_1.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 33/2024 de 29 de agosto - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024.09.05.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 32/2024 de 29 de agosto - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024.08.29.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 31/2024 de 22 de agosto - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_31_2024.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 30/2024 de 31 de julho - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_30_2024.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 29/2024 de 25 de julho - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024.07.25.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 28/2024 de 18 de julho - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024.07.18.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 27/2024 de11 de Julho de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024.07.11.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 26/2024 de 4 de Julho de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024_07_04.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
